Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Purchasing Power Index,Year,Continent
98,Vietnam,41.86,14.86,28.67,39.42,22.69,21.32,2015,Asia
99,Sri Lanka,41.66,10.74,26.55,50.79,22.81,28.24,2015,Asia
100,Ukraine,41.29,12.68,27.31,35.53,38.18,27.87,2015,Europe
101,Mexico,41.26,11.71,26.82,42.35,33.27,59.51,2015,North America
102,Armenia,40.68,9.65,25.52,33.2,32.71,27.74,2015,Asia
104,Bolivia,40.02,10.84,25.76,33.95,26.01,41.1,2015,South America
105,Philippines,40,7.53,24.13,41.14,23.13,35.41,2015,Asia
106,Morocco,39.78,10.26,25.36,34.82,32.35,35.49,2015,Africa
107,Georgia,39.56,11.94,26.06,31.82,37.93,26.21,2015,Asia
108,Indonesia,39.35,13.85,26.89,44.12,21.91,26.01,2015,Asia
109,Bangladesh,39.22,5.85,22.91,40.11,25.52,33.43,2015,Asia
110,Colombia,38.92,12.91,26.21,36.21,29.61,36.08,2015,South America
111,Syria,38.24,10.35,24.61,35.37,31.25,23.11,2015,Asia
112,North Macedonia,37.41,7.02,22.56,31.99,28.48,35.48,2015,Europe
113,Egypt,37.22,9.01,23.43,35.09,32.04,25.84,2015,Africa
114,Moldova,34.72,7.69,21.51,29.75,28.38,23.7,2015,Europe
115,Algeria,34.1,7.83,21.26,33.95,26.96,36.94,2015,Africa
116,Tunisia,34.06,8.47,21.56,31.97,23.26,36.75,2015,Africa
117,Pakistan,30.71,4.81,18.05,30.38,23.5,33.21,2015,Asia
118,Nepal,28.85,3.23,16.33,27.8,18.66,21.33,2015,Asia
119,India,26.27,6.78,16.74,28.52,15.94,65.79,2015,Asia
1,Norway,144.45,58.88,102.88,135.52,165.88,94.4,2014,Europe
2,Switzerland,143.88,63.84,104.99,148.5,145.59,138.05,2014,Europe
3,Denmark,114.87,40.05,78.52,102.61,132.27,100.66,2014,Europe
4,Venezuela,114.36,39.59,78.03,132.15,96.24,17.87,2014,South America
5,Iceland,111.75,41.07,77.42,121.07,106.06,59.54,2014,Europe
6,Luxembourg,109.93,64.11,87.67,97.07,126.51,115.31,2014,Europe
7,Australia,108.51,57.97,83.95,105.03,97.44,104.2,2014,Oceania
8,Ireland,106.61,39.24,73.88,102.67,100.03,94.64,2014,Europe
9,New Zealand,104.48,42.43,74.33,104.47,90.09,87.58,2014,Oceania
10,Sweden,103.68,33.79,69.72,100.35,103.76,106.11,2014,Europe
11,Bahamas,103.44,47.35,76.19,98,96.49,93.37,2014,North America
12,Finland,103.28,35.32,70.26,100.4,103.17,97.9,2014,Europe
13,France,100.21,36.86,69.43,100.19,98.7,92.29,2014,Europe
14,United Kingdom,100.11,44.19,72.94,94.25,96.94,94.34,2014,Europe
15,Belgium,100.04,34.89,68.39,93.51,105.82,87.93,2014,Europe
16,Singapore,100.01,97.04,98.57,89.77,61.36,64.11,2014,Asia
17,Netherlands,98.82,40.94,70.7,78.03,115.25,97.54,2014,Europe
18,Italy,96.81,31.55,65.1,85,104.62,75.39,2014,Europe
19,Japan,94.13,35.51,65.65,97.55,58.78,99.64,2014,Asia
20,Israel,91.45,35.23,64.14,79.52,95.42,69.29,2014,Asia
21,Cyprus,89.76,20.89,56.3,82.44,94.53,65.21,2014,Europe
22,Austria,89.5,33.23,62.16,88.71,79.25,91.53,2014,Europe
23,Canada,87.9,35.71,62.55,94.57,78.78,105.53,2014,North America
24,South Korea,87.56,37.56,63.27,106.5,51.76,80.63,2014,Asia
25,Germany,87.14,30.29,59.52,77.86,77.83,112.28,2014,Europe
26,Greece,83.79,15.12,50.43,70.51,84.76,44.27,2014,Europe
27,Malta,80.18,17.52,49.74,68.9,79.1,72.69,2014,Europe
28,United States of America,77.39,36.93,57.74,83.38,67.74,132.91,2014,North America
29,Uruguay,77.36,25.26,52.05,68.66,71.63,39.64,2014,South America
30,Spain,77.18,26.41,52.51,64.24,79.05,72.48,2014,Europe
31,Puerto Rico,76.5,21.19,49.63,80.04,64.43,85.28,2014,North America
32,Hong Kong,76.36,87.81,81.92,82.08,51.77,71.39,2014,Asia
33,Slovenia,75.37,22.47,49.67,65.19,61.44,60.36,2014,Europe
34,Qatar,75.25,77,76.1,70.26,78.36,125.79,2014,Asia
35,Kuwait,74.08,38.81,56.94,77.58,55.89,92.46,2014,Asia
36,Nigeria,73.78,21.31,48.29,74.97,62.7,35.64,2014,Africa
37,Jamaica,73.36,19.64,47.26,71.51,54.35,54.14,2014,North America
38,Lebanon,70.15,33.38,52.29,54.56,67.5,41.86,2014,Asia
39,Zimbabwe,69.86,20.32,45.79,66.92,53.92,27.73,2014,Africa
40,Portugal,69.3,22.38,46.5,57.37,58.18,54.65,2014,Europe
41,Croatia,69.04,13.93,42.27,62.68,54.75,48.32,2014,Europe
42,United Arab Emirates,68.25,64.26,66.31,61.67,65.23,110.64,2014,Asia
43,Saudi Arabia,68.14,15.49,42.56,69.59,34.87,100.03,2014,Asia
44,Estonia,67.33,18.07,43.4,58.64,54.83,48.67,2014,Europe
45,Argentina,66.85,17.63,42.94,63.23,64.18,57.08,2014,South America
46,Latvia,65.95,16.36,41.86,54.34,53.87,40.22,2014,Europe
47,Costa Rica,65.64,18.76,42.86,69.43,55.53,42.37,2014,North America
48,Ghana,64.56,40.77,53,70.5,57.75,15.13,2014,Africa
49,Kazakhstan,63.15,22.64,43.47,53.48,64.09,37.29,2014,Asia
50,Azerbaijan,63.13,34.91,49.42,54.46,65.44,24.92,2014,Asia
51,Russia,61.8,29.65,46.18,50.91,68.48,37.3,2014,Europe
52,Slovakia,61.5,22.01,42.32,55.26,43.16,52.41,2014,Europe
53,Jordan,61.46,15.22,39,53.7,54.47,38.3,2014,Asia
54,Brazil,60.6,21.77,41.73,49.34,47.55,43.29,2014,South America
55,Taiwan,60.2,19.06,40.21,74.03,29.47,82.31,2014,Asia
56,Chile,60.16,18.32,39.83,54.27,49.97,58.27,2014,South America
57,Lithuania,59.96,14.65,37.94,52.84,41.88,43.24,2014,Europe
58,Namibia,59.8,24.32,42.56,52.7,47.8,34.99,2014,Africa
59,Mauritius,59.48,26.73,43.57,52.78,58.02,69.43,2014,Africa
60,Hungary,59.27,10.68,35.66,48.1,43.63,44.89,2014,Europe
61,Bahrain,59.07,36.1,47.91,57.64,56.24,62.03,2014,Asia
62,Trinidad And Tobago,58.77,22.15,40.98,57.57,49.33,41.13,2014,North America
63,Uganda,58.74,12.85,36.45,55.21,27.1,24.54,2014,Africa
64,Dominican Republic,57.98,12.62,35.94,59.04,40.89,33.7,2014,North America
65,Montenegro,57.26,11.64,35.1,49.88,50.12,38.75,2014,Europe
67,Oman,56.04,30.36,43.56,53.47,40.73,112.31,2014,Asia
68,Ethiopia,55.46,21.78,39.1,55.43,28.24,11.95,2014,Africa
69,China,54.12,24.31,39.64,57.06,37.77,43.73,2014,Asia
70,Poland,53.68,18.93,36.8,45.19,44.19,57.6,2014,Europe
71,Cambodia,53.64,13.04,33.92,64.26,25.11,15.29,2014,Asia
72,Kenya,53.6,19.24,36.91,59.5,34.21,30.85,2014,Africa
73,El Salvador,53.05,10.31,32.28,50.59,35.91,24.13,2014,North America
74,Libya,52.33,20.22,36.73,61.34,42.83,42.82,2014,Africa
75,Panama,52.18,31.37,42.07,59.81,40.36,44.59,2014,North America
76,Guatemala,52,15.54,34.28,54.22,33.33,38.81,2014,North America
77,Serbia,51.57,10.91,31.82,42.7,42.67,37.39,2014,Europe
78,Iraq,51.27,17.79,35,45.84,46.2,37.2,2014,Asia
79,Honduras,51.05,12.19,32.17,42.94,33.62,38.23,2014,North America
80,Peru,50.93,15.4,33.66,47.45,36.13,35.55,2014,South America
81,Colombia,50.37,14.65,33.02,47.72,34.83,33.45,2014,South America
82,Belarus,50.35,15.95,33.63,46.15,55.79,33.93,2014,Europe
83,Tanzania,50.05,20.37,35.63,52.28,27.12,39.86,2014,Africa
84,Bulgaria,49.96,11,31.04,45.32,38.02,37.39,2014,Europe
85,Turkey,49.93,12.81,31.9,40.56,37.53,55.79,2014,Asia
86,Bosnia And Herzegovina,49.76,8.28,29.61,45.31,33.65,44.52,2014,Europe
87,Iran,49.51,20.49,35.41,52.6,41.46,30.33,2014,Asia
88,Albania,48.96,10.94,30.49,41.37,35.25,33.27,2014,Europe
89,Malaysia,48.66,15.16,32.38,47.62,26.62,70.46,2014,Asia
90,South Africa,48.55,17.7,33.56,42.32,43.73,95.97,2014,Africa
91,Romania,48.2,12.23,30.72,43.87,37.19,36.51,2014,Europe
92,Morocco,47.48,14.36,31.39,41.71,38.63,29.59,2014,Africa
93,Mexico,46.96,12.14,30.04,48.99,35.39,60.46,2014,North America
94,Armenia,46.66,13.92,30.75,36.75,41.14,23.56,2014,Asia
95,Georgia,46.22,12.6,29.88,37,41.36,23.48,2014,Asia
96,Thailand,45.95,18.3,32.51,52.92,23.81,36.96,2014,Asia
97,Ukraine,45.64,15.13,30.82,40.81,40.21,31,2014,Europe
98,Ecuador,45.23,14.15,30.13,47.41,27.71,27.03,2014,South America
99,Vietnam,44.86,15.15,30.43,41.09,23.26,26.29,2014,Asia
100,North Macedonia,44.17,9.15,27.15,37.68,32.44,33.3,2014,Europe
101,Sri Lanka,42.82,9.81,26.78,52.24,24.97,30.98,2014,Asia
102,Syria,42.74,12.18,27.89,38.64,35.52,21.47,2014,Asia
103,Moldova,41.56,9.96,26.21,35.87,31.08,22.86,2014,Europe
104,Tunisia,41.25,9.82,25.98,38.36,28.73,34.36,2014,Africa
105,Bolivia,40.98,13.56,27.66,36.85,24.62,45.67,2014,South America
106,Bangladesh,40.37,6.64,23.98,41.26,25.98,33.61,2014,Asia
107,Philippines,40.28,8.34,24.76,42.43,23.22,29.97,2014,Asia
108,Algeria,39.11,8.94,24.46,40.11,27.48,32.1,2014,Africa
109,Indonesia,39,12.83,26.29,44.21,20.9,26.44,2014,Asia
110,Egypt,38.26,9.4,24.24,37.06,32.75,25.57,2014,Africa
111,Nepal,31.43,3.47,17.85,30.47,19.82,23.36,2014,Asia
112,Pakistan,29.69,4.66,17.53,29.22,22.32,31.53,2014,Asia
113,India,26.7,7.01,17.13,29.22,16.02,62.33,2014,Asia
1,Norway,173.85,68.99,123.52,162.53,183.3,95.91,2013,Europe
2,Switzerland,151.77,70.9,112.95,153.05,142.36,137.26,2013,Europe
3,Australia,133.66,72.72,104.41,128.69,116.39,103.02,2013,Oceania
4,Luxembourg,124.76,67.68,97.36,111.78,130.8,121.39,2013,Europe
5,Denmark,119.95,42.93,82.98,103.97,130.5,102.15,2013,Europe
6,Japan,115.24,43.81,80.96,112.83,70.01,85.99,2013,Asia
7,Sweden,114.47,36.11,76.86,105.57,110.14,106.57,2013,Europe
8,New Zealand,113.63,46.06,81.2,111.68,93.48,80.65,2013,Oceania
9,Bahrain,113.49,29.58,73.21,162.91,71.01,59.29,2013,Asia
10,Iceland,112.43,39.3,77.33,118.81,99.72,67.91,2013,Europe
11,Ireland,112.33,40.37,77.79,105.55,102.99,95.06,2013,Europe
12,Venezuela,111.01,41.48,77.64,126.37,93.65,16.64,2013,South America
13,Belgium,108.04,39.18,74.99,90.14,115.6,94.09,2013,Europe
14,Finland,106.99,40.37,75.02,101.29,100.24,94.06,2013,Europe
15,Singapore,105.39,103.04,104.26,91.19,63.28,59.94,2013,Asia
16,Netherlands,103.9,45.71,75.97,81.11,107.68,92.88,2013,Europe
17,France,103.24,37.99,71.92,97.75,100.45,98.11,2013,Europe
18,United Kingdom,102.24,41.1,72.89,93.06,94.28,89.07,2013,Europe
19,Italy,101.42,36.21,70.12,87.31,107.38,70.44,2013,Europe
20,Canada,99.65,39.85,70.94,101.24,85.58,109.56,2013,North America
21,Cyprus,98.61,24.99,63.28,89.35,101.17,72.48,2013,Europe
22,Austria,97.88,36.81,68.57,92.75,81.43,87.47,2013,Europe
23,Greece,92.57,18.64,57.09,74.67,95.52,49.44,2013,Europe
24,Israel,92.24,32.28,63.46,76.92,90.09,72.55,2013,Asia
25,Germany,91.64,33.24,63.61,80.74,79.68,117.58,2013,Europe
26,Nigeria,87.18,17.89,53.92,92.93,62.45,32.73,2013,Africa
27,Malta,85.61,20.6,54.4,73.68,77.57,77.82,2013,Europe
28,Spain,83.14,29.09,57.2,66.55,80.97,84.04,2013,Europe
29,Puerto Rico,82.56,25,54.93,83.45,65.03,94.08,2013,North America
30,Qatar,82.36,84.11,83.2,75,78.79,136.65,2013,Asia
31,Slovenia,82.06,26.48,55.38,70.49,63.24,59.25,2013,Europe
32,Uruguay,81.66,26.14,55.01,70.53,75.66,37.58,2013,South America
33,Kuwait,80.74,34.55,58.57,78.99,78.65,84.61,2013,Asia
34,United States of America,80.54,37.39,59.83,80.74,67.87,136.5,2013,North America
35,South Korea,80.44,28.66,55.58,94.12,46.5,102.13,2013,Asia
36,Azerbaijan,78.25,41.92,60.81,67.88,64.83,20.48,2013,Asia
37,Hong Kong,77.81,88.57,82.98,79.82,54.48,80.3,2013,Asia
38,Lebanon,75.63,38.51,57.82,58.06,65.2,42.46,2013,Asia
39,United Arab Emirates,75.48,63.29,69.63,64.99,69.9,121.24,2013,Asia
40,Portugal,75.31,24.34,50.84,61.25,59.09,54.12,2013,Europe
41,Croatia,72.24,14.9,44.72,64.47,55.98,51.58,2013,Europe
42,Saudi Arabia,72.17,15.73,45.08,74.47,36.51,114.63,2013,Asia
43,Estonia,70.75,16.8,44.86,60.94,53.36,53.09,2013,Europe
44,Argentina,70.44,20.12,46.29,64.52,65.43,50.24,2013,South America
45,Brazil,70,22.79,47.34,53.97,51.81,41.26,2013,South America
46,Russia,69.69,29.38,50.34,56.88,73.64,42.96,2013,Europe
47,Chile,68.38,21.3,45.79,58.15,56.28,56.43,2013,South America
48,Latvia,67.96,15.26,42.67,55.36,58.45,41.34,2013,Europe
49,Taiwan,67.83,20.52,45.12,79.96,31.75,73.02,2013,Asia
50,Costa Rica,66.62,20.87,44.66,71.79,54.7,45.59,2013,North America
51,Dominican Republic,66.17,15.44,41.82,66.12,41.54,27.99,2013,North America
52,Slovakia,65.72,24.46,45.92,56.16,44.54,53.78,2013,Europe
53,Jordan,65.55,15.63,41.59,56.78,56.37,36.18,2013,Asia
54,Kazakhstan,65.16,26.56,46.64,51.34,67.36,32.21,2013,Asia
55,Turkey,64.39,16.16,41.24,50.04,46.33,56.44,2013,Asia
56,Hungary,63.9,12.6,39.28,50.87,47.33,42.97,2013,Europe
58,Lithuania,63.33,16.18,40.7,55.36,41.98,42.24,2013,Europe
59,Montenegro,63.18,15.2,40.15,56.02,55.2,43.94,2013,Europe
60,China,61.75,25.82,44.51,66.43,36.53,37.27,2013,Asia
61,Trinidad And Tobago,61.6,30.56,46.7,55.8,48.42,44.27,2013,North America
62,South Africa,60.2,21.39,41.57,52.86,49.76,105.33,2013,Africa
63,Ethiopia,59.86,24.26,42.77,62.51,26.1,11.48,2013,Africa
64,Colombia,58.44,14.01,37.12,52.83,38.31,29.71,2013,South America
65,Iraq,57.16,18.04,38.39,50.89,46.23,33.66,2013,Asia
66,Iran,57.04,24.3,41.33,59.28,42.76,37.51,2013,Asia
67,Kenya,56.99,17.19,37.89,60.96,33.82,38.93,2013,Africa
68,Cambodia,55.84,9.18,33.44,64.35,24.45,15.45,2013,Asia
69,Poland,55.64,20.2,38.63,46.58,43.08,54.72,2013,Europe
70,Tanzania,54.88,13.91,35.22,59.2,24.94,66.03,2013,Africa
71,Malaysia,54.82,15.25,35.83,51.46,27.37,69.64,2013,Asia
72,Oman,54.56,27.5,41.57,51.37,39.81,129.2,2013,Asia
73,Mauritius,54.48,23.36,39.54,43.46,53.48,46.08,2013,Africa
74,Morocco,54.04,16.7,36.12,44.71,42.31,26.38,2013,Africa
75,Georgia,53.8,17.09,36.18,45.54,47.48,28.56,2013,Asia
76,Serbia,53.59,11.96,33.61,43.53,42.78,36.58,2013,Europe
77,Mexico,53.56,13.29,34.23,52.48,37.4,59.77,2013,North America
78,Bosnia And Herzegovina,53.4,8.65,31.92,47.43,38.07,46.42,2013,Europe
79,Panama,53.38,28.26,41.32,58.83,36.26,37.52,2013,North America
80,Bulgaria,52.68,12.39,33.35,46.89,38.82,37.71,2013,Europe
81,Romania,51.89,14.14,33.77,47.31,37.2,35.81,2013,Europe
82,Thailand,51.78,21.3,37.15,57.93,25.48,35.01,2013,Asia
83,Belarus,51.32,13.28,33.06,41.89,58.09,23.45,2013,Europe
84,Sri Lanka,50.58,14.52,33.27,55,29.73,27.18,2013,Asia
85,Tunisia,50.32,11.61,31.74,44.39,36.83,34.18,2013,Africa
86,Peru,48.82,15.47,32.81,42.62,31.18,45.28,2013,South America
87,Albania,48.64,10.84,30.5,40.23,31.83,35.28,2013,Europe
88,Ukraine,48.56,14.74,32.33,41.48,43.47,31.97,2013,Europe
89,Philippines,48.01,10.91,30.2,51.23,26.89,25.66,2013,Asia
90,Syria,47.3,17.61,33.05,36.7,40.65,21.89,2013,Asia
91,Moldova,47.24,12.89,30.75,38.28,37.97,24.52,2013,Europe
92,Ecuador,46.61,12.91,30.44,48.18,26.45,25.47,2013,South America
93,North Macedonia,46.48,10.72,29.32,38.44,33.22,34.9,2013,Europe
94,Indonesia,46.14,17.58,32.43,51,23.71,24.62,2013,Asia
95,Bangladesh,44.83,7.79,27.05,38.51,26.43,33.26,2013,Asia
96,Egypt,44.82,11.1,28.64,40.33,37.18,30.32,2013,Africa
97,Vietnam,43.21,20.77,32.44,41.77,23.74,31.86,2013,Asia
98,Bolivia,41.5,12.48,27.57,36.42,21.48,46.39,2013,South America
99,Algeria,41.49,6.06,24.48,43.76,24.84,32.71,2013,Africa
100,Nepal,38.74,3.66,21.91,36.73,26.19,29.49,2013,Asia
101,Pakistan,33.41,6.12,20.31,32.09,25.34,26.03,2013,Asia
102,India,30.92,7.36,19.61,32.51,18.09,61.92,2013,Asia
1,Norway,151.34,55.5,116.85,142.37,150.23,92.62,2012,Europe
2,Switzerland,141.31,58.51,111.51,130.55,123.11,127.45,2012,Europe
3,Japan,134.23,54.22,105.43,117.97,84.28,79.94,2012,Asia
4,Monaco,128.15,173.08,144.32,89.8,138.14,62.3,2012,Europe
5,Australia,122.96,58.85,99.88,113.72,108.95,109.5,2012,Oceania
6,Denmark,116.52,41.31,89.45,94.09,130.69,101.98,2012,Europe
7,Belgium,108.68,35.02,82.17,86.01,107.48,90.44,2012,Europe
8,Ireland,107.77,38.12,82.7,97.13,106.06,89.6,2012,Europe
9,Netherlands,104.5,41.15,81.7,69.58,104.36,95.17,2012,Europe
10,Iceland,103.6,32.71,78.09,97.74,92.19,78.56,2012,Europe
11,Sweden,101.86,29.36,75.76,85.33,101.5,100.7,2012,Europe
12,New Zealand,101.65,31.75,76.49,95.6,86.5,85.36,2012,Oceania
13,United Kingdom,100.13,37.85,77.72,83.74,94.07,88.35,2012,Europe
14,Finland,99.69,36.47,76.94,82.32,96.9,98.14,2012,Europe
15,Bahrain,99.52,37.54,77.21,150.55,86.92,52.77,2012,Asia
16,France,98.19,35.91,75.77,82.96,94.92,92.68,2012,Europe
17,Canada,98.04,38.35,76.56,93.84,83.16,108.18,2012,North America
18,Kuwait,96.24,30.78,72.68,73.52,137.45,69.98,2012,Asia
19,Singapore,96.08,90.69,94.14,82.76,65.1,93.29,2012,Asia
20,Israel,95.45,32.05,72.63,77.35,89.45,75.01,2012,Asia
21,Austria,94.84,34.34,73.07,85.06,76.59,98.31,2012,Europe
22,Italy,94.82,34.3,73.04,75.97,95.38,68.59,2012,Europe
23,Saudi Arabia,93.42,18.02,66.29,135.45,39.6,82.11,2012,Asia
24,Greece,93.09,18.9,66.39,69.83,91.17,48.31,2012,Europe
25,Cyprus,89.54,22.36,65.36,74.6,92.18,77.04,2012,Europe
26,Germany,88.55,28.94,67.1,72.15,76.2,114.37,2012,Europe
27,Lebanon,86.11,37.05,68.45,45.3,69.63,24.37,2012,Asia
28,Hong Kong,84.4,96.98,88.92,80.47,69.05,84.27,2012,Asia
29,Qatar,84.28,63.5,76.8,81.63,72.85,153.59,2012,Asia
30,Puerto Rico,84.27,28.14,64.07,81.85,64.57,78.17,2012,North America
31,Brazil,83.71,25.62,62.8,57.83,56.97,32.8,2012,South America
32,Malta,83.17,19.49,60.25,70.81,69.07,91.73,2012,Europe
33,United States of America,83.06,37.42,66.64,77.65,68.74,116.48,2012,North America
34,Uruguay,82.95,25.34,62.22,65.96,68.83,29.37,2012,South America
35,United Arab Emirates,81.96,66.92,76.55,66.19,80.5,125.87,2012,Asia
36,Spain,80.24,27.3,61.19,59.01,74.83,88.01,2012,Europe
37,South Africa,75.64,25.36,57.54,59.67,56.27,92.47,2012,Africa
38,Slovenia,74.34,25.73,56.85,64.7,58.04,57.92,2012,Europe
39,Morocco,71.89,26.6,55.59,61.43,41.65,16.68,2012,Africa
40,Azerbaijan,71.24,41.03,60.37,53.2,68.17,26.38,2012,Asia
41,Kazakhstan,70.84,31.8,56.79,49.59,54.65,24.48,2012,Asia
42,Portugal,70.76,23,53.57,56.17,52.24,56.05,2012,Europe
43,South Korea,68.62,27.84,53.94,70.68,48.17,108.62,2012,Asia
44,Costa Rica,68.43,22.96,52.06,66.98,52.91,46.29,2012,North America
45,Latvia,67.76,14.27,48.51,51.28,63.62,35.04,2012,Europe
46,Croatia,67.54,13.94,48.25,56.05,52.42,50.14,2012,Europe
47,Chile,67.39,19.79,50.26,54.24,54.31,47.11,2012,South America
48,Estonia,66.91,15.1,48.27,51.28,58.73,47.77,2012,Europe
49,Turkey,65.26,15.51,47.35,47.31,48.21,52.57,2012,Asia
50,Russia,64.85,23.81,50.07,49.67,67.55,43.86,2012,Europe
51,Argentina,63.13,19.21,47.32,52.4,54.37,41.71,2012,South America
52,Taiwan,62.89,18.71,46.99,75.33,35.63,74.85,2012,Asia
53,Armenia,62.75,19.62,47.23,38.38,53.15,20.71,2012,Asia
54,Montenegro,62.24,17.23,46.04,49.11,55.87,38.86,2012,Europe
55,Lithuania,62.11,14.8,45.08,53.02,41.79,33.6,2012,Europe
57,Jordan,60.44,13.35,43.49,54.93,48.15,37.02,2012,Asia
58,Colombia,59.99,16.59,44.37,50.17,38.82,29.28,2012,South America
59,Hungary,59.65,12.67,42.74,44.64,43.56,36.81,2012,Europe
60,Slovakia,59.31,23.01,46.25,49.21,40,49.19,2012,Europe
61,Georgia,56.07,15.34,41.41,40.93,49.09,29.38,2012,Asia
62,Peru,55.1,15.68,40.91,41.93,36.23,36.05,2012,South America
63,Mexico,55.06,13.98,40.27,48.45,43.19,58.98,2012,North America
64,Malaysia,54.9,12.8,39.75,53.65,31.12,74.06,2012,Asia
65,Iran,54.84,25.17,44.16,53.92,42.19,46.2,2012,Asia
66,Tunisia,54.48,9.85,38.42,45.71,40.36,32.39,2012,Africa
67,Panama,54.02,25.34,43.7,48.86,37.67,40.91,2012,North America
68,Mongolia,53.86,24.01,43.12,57.94,37.81,22.57,2012,Asia
69,Indonesia,51.42,17.21,39.11,57.94,30.08,18.33,2012,Asia
70,Ukraine,51.1,14.95,38.09,38.39,46.13,25.6,2012,Europe
71,Bulgaria,50.92,12.32,37.03,42.02,32.96,33.76,2012,Europe
72,Ecuador,50.85,12.36,37,46.59,29.04,25.96,2012,South America
73,Bosnia And Herzegovina,50.75,8.44,35.53,41.08,39.56,44.37,2012,Europe
74,Serbia,50.55,11.9,36.64,36.47,40.26,31.33,2012,Europe
75,Syria,50.24,12.77,36.75,37.66,33.11,23.64,2012,Asia
76,Thailand,50.16,17.59,38.44,65.47,27.35,32.03,2012,Asia
77,Poland,49.74,16.89,37.91,39.45,38.43,59.23,2012,Europe
78,Egypt,49.65,15.98,37.53,43.42,44.75,28.16,2012,Africa
79,China,48.82,19.67,38.33,53.68,33.62,30.26,2012,Asia
80,Nicaragua,48.31,10.71,34.78,47.52,34.6,42.64,2012,North America
81,Romania,47.91,12.15,35.04,39.81,35.28,34.29,2012,Europe
82,Moldova,47.81,12.35,35.05,38.59,40.27,27.56,2012,Europe
83,Belarus,45.59,10.62,33.01,33.84,52.82,23.59,2012,Europe
84,Nepal,44.28,4.9,30.11,36.11,30.19,24.53,2012,Asia
85,Philippines,43.62,10.98,31.87,43.13,23.83,28.99,2012,Asia
86,Vietnam,42.9,33.02,39.35,45.31,26.66,28.05,2012,Asia
87,North Macedonia,42.8,9.46,30.8,33.64,31.65,35.2,2012,Europe
88,Algeria,40.64,8.32,29.01,43.59,25.57,27.54,2012,Africa
89,Pakistan,36.17,6.79,25.6,31.52,29.13,28.27,2012,Asia
90,India,33.39,8.36,24.38,33.82,21.1,60.11,2012,Asia